Timestamp_Origin,Scooter_ID,Long_Origin,Lat_Origin,Battery_Origin,Timestamp_Destination,Long_Destination,Lat_Destination,Battery_Destination
2019-10-20 23:09:02,3478e294-a573-42c2-85ef-6dfecc4afbfc,-111.913157,33.393871,31,2019-10-20 23:19:02,-111.927364469,33.3936124994,22
2019-10-20 23:40:02,3478e294-a573-42c2-85ef-6dfecc4afbfc,-111.927209,33.393563,28,2019-10-20 23:58:02,-111.928109,33.405258,24
2019-10-21 22:54:01,3478e294-a573-42c2-85ef-6dfecc4afbfc,-111.92815396,33.4052409651,24,2019-10-21 23:02:01,-111.917156,33.407207,12
2019-10-21 23:39:02,3478e294-a573-42c2-85ef-6dfecc4afbfc,-111.917156,33.407207,18,2019-10-21 23:58:01,-111.926487,33.403913,10
2019-11-10 20:55:02,b930c889-69dc-49d9-8942-7c7a3b58b93b,-111.9249651,33.414314,60,2019-11-10 20:56:02,-111.925225156,33.4130881448,60
2019-10-16 15:28:01,3d876af6-2f7d-438e-9510-a57da7b6c620,-111.925182,33.415814,29,2019-10-16 15:29:01,-111.924816,33.414457,29
2019-10-16 15:38:01,3d876af6-2f7d-438e-9510-a57da7b6c620,-111.924816,33.414457,29,2019-10-16 15:39:01,-111.925335,33.415803,29
2019-10-16 15:48:01,3d876af6-2f7d-438e-9510-a57da7b6c620,-111.925335,33.415803,29,2019-10-16 15:49:01,-111.924921,33.414797,29
2019-10-16 14:20:02,07bd5491-5d53-41ad-81bc-e2d9bbe99ad4,-111.924517,33.415026,67,2019-10-16 14:21:01,-111.925363,33.415783,67
2019-10-24 02:09:02,e1d5b2c1-9e22-4141-ba72-d494c3fad082,-111.928291,33.407396,100,2019-10-24 02:22:02,-111.938677,33.394567,78
2019-10-24 03:08:02,e1d5b2c1-9e22-4141-ba72-d494c3fad082,-111.938677,33.394567,90,2019-10-24 03:18:03,-111.928023,33.405159,44
2019-10-24 20:50:02,e1d5b2c1-9e22-4141-ba72-d494c3fad082,-111.928092,33.405156,74,2019-10-24 21:10:02,-111.917012818,33.4199212818,55
2019-10-24 22:07:02,e1d5b2c1-9e22-4141-ba72-d494c3fad082,-111.916867,33.419423,62,2019-10-24 22:24:02,-111.907828599,33.3942520386,33
2019-10-24 23:05:02,e1d5b2c1-9e22-4141-ba72-d494c3fad082,-111.907959,33.394306,42,2019-10-24 23:22:02,-111.928043068,33.4051942779,24
2019-10-25 13:07:02,e1d5b2c1-9e22-4141-ba72-d494c3fad082,-111.928083,33.405184,29,2019-10-25 13:14:02,-111.927736,33.40739,25
2019-10-27 00:14:02,e1d5b2c1-9e22-4141-ba72-d494c3fad082,-111.92777778,33.4074375267,27,2019-10-27 00:18:01,-111.92237,33.408122,18
2019-10-27 00:19:01,e1d5b2c1-9e22-4141-ba72-d494c3fad082,-111.92237,33.408122,18,2019-10-27 00:25:02,-111.928090761,33.4051559307,15
2019-10-27 19:29:01,e1d5b2c1-9e22-4141-ba72-d494c3fad082,-111.928043,33.405219,19,2019-10-27 19:39:01,-111.926073153,33.4058513353,13
2019-10-21 20:23:01,854e0080-1c33-4fe2-b3ca-c1cd879102f5,-111.947426,33.418253,100,2019-10-21 20:24:01,-111.936735856,33.3787358366,100
2019-10-21 20:38:01,854e0080-1c33-4fe2-b3ca-c1cd879102f5,-111.936735856,33.3787358366,100,2019-10-21 20:39:01,-111.947426,33.418253,100
2019-10-17 02:49:02,b2a268f8-feda-4dc0-954a-7226e051e486,-111.967944,33.392666,69,2019-10-17 02:50:02,-111.9635605,33.393287,69
2019-10-16 20:05:01,7678145f-a008-45cb-894d-bdd596b6fe19,-111.949432271,33.4139426162,34,2019-10-16 20:08:01,-111.952076,33.41459,34
2019-10-19 20:40:01,f04ff28c-2d5e-4129-8f0a-cb2fdc945ab5,-111.925953,33.421894,100,2019-10-19 20:45:01,-111.9421129,33.42162,100
2019-10-19 20:46:01,f04ff28c-2d5e-4129-8f0a-cb2fdc945ab5,-111.9421129,33.42162,100,2019-10-19 20:47:01,-111.924675,33.421925,100
2019-10-17 14:08:01,7b2b25fb-560e-4146-913b-b10ee31fc004,-111.938002,33.421986,25,2019-10-17 14:09:01,-111.940008,33.42167,25
